COD_AUTOR,HOMONIMO,FORMATO,NOME,RESUMOS
22340,,Zahoui A,Abbas Zahoui,PN1529
29703,,García-García A,Abel García-García,PN1751
1881,,Coppedê AR,Abílio Ricciardi Coppedê,PN0306
1693,,Calixto AL,Abraham Lincoln Calixto,"PI0123, PI0406, PN0183"
4164,,Carvalho ACGS,Abrahao Cavalcante Gomes de Souza Carvalho,PI0461
28653,,Costa AGDS,ABY GAILL DAVID DE SOUZA COSTA,PI0550
28836,,Costa ARDS,ABY RIAN DAVID DE SOUZA COSTA,PI0045
10505,,Fuziy A,Acácio Fuziy,PN1363
23369,,Matos AO,Adaias Oliveira Matos,"AO0201, PN0206, PN0207, PN0208"
11396,,Busato ALS,Adair Luiz Stefanello Busato,PN0488
23468,,Santos ARS,Adair Roberto Soares Santos,AO0089
25779,,Catarina AS,Adair Santa Catarina,PN0276
2038,,Costa AC,Adalberto Coelho da Costa,PN0071
28208,,Costa AF,adalberto fidalgo da costa,PN0504
3965,,Rosa AL,Adalberto Luiz Rosa,"AO0150, PI0763"
29574,,Araújo-Junior AM,Adalberto Miguel de Araújo Junior,PI0324
29280,,Lima-Junior AN,Adalberto Nascimento de Lima Junior,PN1767
28336,,Lima ASGH,Adália Samara Gadêlha de Holanda Lima,"AO0045, AO0056"
4501,,Emmerich AO,Adauto Oliveira Emmerich,PN1810
15562,,Sanches AMJL,Adélia Maria de Jesus Lopes Sanches,PI0160
18674,,Jorjão AL,Adeline Lacerda Jorjão,AO0094
27621,,Abrantes AAA,Adelino António Artur Abrantes,PN0584
12177,,Tiveron ARF,Adelisa Rodolfo Ferreira Tiveron,PI0795
29837,,Silva-Neto AP,ADELMAR PEREIRA DA SILVA-NETO,PN1818
28044,,Silva-Filho AA,Ademar Alves Da Silva Filho,PI0794
18939,,Nobrega AS,Adhara Smith Nobrega,"HA016, HA017, PI0019"
5548,,Alexandria AK,Adílis Kalina Alexandria,"PI0152, PI0287, PI0352, PI0750, PN0198, PN1138, PN1350, PN1377, COL011"
6504,,Ramos AL,Adilson Luiz Ramos,"PN0557, PN1004, COL005, COL013"
24523,,Oliveira AT,Adilson Tolfo de Oliveira,PN0964
11076,,Furuse AY,Adilson Yoshio Furuse,"PN0441, PN0747, PN1596"
15590,H1,Delbem ACB,Ádina Cléia Botazzo Delbem,"PI0814, PN0658"
29436,,Massarioli AP,Adna Prado Massarioli,FC008
16187,,Araujo ACAJ,Adrian Camargo Amaral Jorge Araujo,PN0349
9884,,Lussi A,Adrian Lussi,PN0386
21713,,Ortega AAC,Adriana Alicia Cabrera Ortega,PN0269
24739,,Sousa AA,Adriana Alkmim de Sousa,PN1002
27945,,Dias AAFA,Adriana Aparecida Faziolli Almeida Dias,"PN0115, PN0682"
1477,,Ribeiro AB,Adriana Barbosa Ribeiro,AO0135
1430,,Palma ABO,Adriana Benquerer Oliveira Palma,PI0439
2129,,Matos AB,ADRIANA BONA MATOS,"PI0879, PN0144, PN0149"
19471,,Linhares ABR,Adriana Brandão Ribeiro Linhares,AO0015
6629,,Santana ACP,ADRIANA CAMPOS PASSANEZI SANTANA,"PN1464, PN1536"
22059,,Nogueira ACA,Adriana Candida Albuquerque Nogueira,PN1037
2397,,Faria ACL,Adriana Cláudia Lapria Faria,"AO0214, PI0105, PI0255, PN0284, PN0521, PN0523, PN0529, PN0831, PN1528, PN1847"
29219,,Câmara ACSM,Adriana Costa de Souza Martins Câmara,PN0580
