SIGLA,DIA,HORA,LOCAL
AO0001,9/4/2015,8:00 - 11:30 h,Sala Amoreira I
AO0002,9/4/2015,8:00 - 11:30 h,Sala Amoreira I
AO0003,9/4/2015,8:00 - 11:30 h,Sala Amoreira I
AO0004,9/4/2015,8:00 - 11:30 h,Sala Amoreira I
AO0005,9/4/2015,8:00 - 11:30 h,Sala Amoreira I
AO0006,9/4/2015,8:00 - 11:30 h,Sala Amoreira I
AO0007,9/4/2015,8:00 - 11:30 h,Sala Amoreira I
AO0008,9/4/2015,8:00 - 11:30 h,Sala Amoreira I
AO0009,9/4/2015,8:00 - 11:30 h,Sala Amoreira I
AO0010,9/4/2015,8:00 - 11:30 h,Sala Amoreira I
AO0011,9/4/2015,8:00 - 11:30 h,Sala Amoreira I
AO0012,9/4/2015,8:00 - 11:30 h,Sala Amoreira I
AO0013,9/4/2015,13:00 - 16:45 h,Sala Amoreira I
AO0014,9/4/2015,13:00 - 16:45 h,Sala Amoreira I
AO0015,9/4/2015,13:00 - 16:45 h,Sala Amoreira I
AO0016,9/4/2015,13:00 - 16:45 h,Sala Amoreira I
AO0017,9/4/2015,13:00 - 16:45 h,Sala Amoreira I
AO0018,9/4/2015,13:00 - 16:45 h,Sala Amoreira I
AO0019,9/4/2015,13:00 - 16:45 h,Sala Amoreira I
AO0020,9/4/2015,13:00 - 16:45 h,Sala Amoreira I
AO0021,9/4/2015,13:00 - 16:45 h,Sala Amoreira I
AO0022,9/4/2015,13:00 - 16:45 h,Sala Amoreira I
AO0023,9/4/2015,13:00 - 16:45 h,Sala Amoreira I
AO0024,9/4/2015,13:00 - 16:45 h,Sala Amoreira I
AO0025,9/4/2015,8:00 - 11:30 h,Sala Amoreira II
AO0026,9/4/2015,8:00 - 11:30 h,Sala Amoreira II
AO0027,9/4/2015,8:00 - 11:30 h,Sala Amoreira II
AO0028,9/4/2015,8:00 - 11:30 h,Sala Amoreira II
AO0029,9/4/2015,8:00 - 11:30 h,Sala Amoreira II
AO0030,9/4/2015,8:00 - 11:30 h,Sala Amoreira II
AO0031,9/4/2015,8:00 - 11:30 h,Sala Amoreira II
AO0032,9/4/2015,8:00 - 11:30 h,Sala Amoreira II
AO0033,9/4/2015,8:00 - 11:30 h,Sala Amoreira II
AO0034,9/4/2015,8:00 - 11:30 h,Sala Amoreira II
AO0035,9/4/2015,8:00 - 11:30 h,Sala Amoreira II
AO0036,9/4/2015,8:00 - 11:30 h,Sala Carvalho III
AO0037,9/4/2015,8:00 - 11:30 h,Sala Carvalho III
AO0038,9/4/2015,8:00 - 11:30 h,Sala Carvalho III
AO0039,9/4/2015,8:00 - 11:30 h,Sala Carvalho III
AO0040,9/4/2015,8:00 - 11:30 h,Sala Carvalho III
AO0041,9/4/2015,8:00 - 11:30 h,Sala Carvalho III
AO0042,9/4/2015,8:00 - 11:30 h,Sala Carvalho III
AO0043,9/4/2015,8:00 - 11:30 h,Sala Carvalho III
AO0044,9/4/2015,8:00 - 11:30 h,Sala Carvalho III
AO0045,9/4/2015,8:00 - 11:30 h,Sala Carvalho III
AO0046,9/4/2015,13:00 - 16:45 h,Sala Carvalho III
AO0047,9/4/2015,13:00 - 16:45 h,Sala Carvalho III
AO0048,9/4/2015,13:00 - 16:45 h,Sala Carvalho III
AO0049,9/4/2015,13:00 - 16:45 h,Sala Carvalho III
AO0050,9/4/2015,13:00 - 16:45 h,Sala Carvalho III
AO0051,9/4/2015,13:00 - 16:45 h,Sala Carvalho III
AO0052,9/4/2015,13:00 - 16:45 h,Sala Carvalho III
AO0053,9/4/2015,13:00 - 16:45 h,Sala Carvalho III
AO0054,9/4/2015,13:00 - 16:45 h,Sala Carvalho III
AO0055,9/4/2015,13:00 - 16:45 h,Sala Carvalho III
