SIGLA;DIA;HORA;LOCAL
AO0001;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0002;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0003;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0004;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0005;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0006;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0007;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0008;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0009;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0010;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0011;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0012;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0013;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0014;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0015;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0016;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0017;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0018;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0019;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0020;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0021;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0022;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0023;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0024;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0025;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0026;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0027;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0028;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0029;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0030;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0031;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0032;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0033;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0034;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0035;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0036;2015-09-15;8:00 - 11:30 h;Sala Carvalho III
AO0037;2015-09-15;8:00 - 11:30 h;Sala Carvalho III
AO0038;2015-09-15;8:00 - 11:30 h;Sala Carvalho III
AO0039;2015-09-15;8:00 - 11:30 h;Sala Carvalho III
AO0040;2015-09-15;8:00 - 11:30 h;Sala Carvalho III
AO0041;2015-09-15;8:00 - 11:30 h;Sala Carvalho III
AO0042;2015-09-15;8:00 - 11:30 h;Sala Carvalho III
AO0043;2015-09-15;8:00 - 11:30 h;Sala Carvalho III
AO0044;2015-09-15;8:00 - 11:30 h;Sala Carvalho III
AO0045;2015-09-15;8:00 - 11:30 h;Sala Carvalho III
AO0046;2015-09-15;13:00 - 16:45 h;Sala Carvalho III
AO0047;2015-09-15;13:00 - 16:45 h;Sala Carvalho III
AO0048;2015-09-15;13:00 - 16:45 h;Sala Carvalho III
AO0049;2015-09-15;13:00 - 16:45 h;Sala Carvalho III
AO0050;2015-09-15;13:00 - 16:45 h;Sala Carvalho III
AO0051;2015-09-15;13:00 - 16:45 h;Sala Carvalho III
AO0052;2015-09-15;13:00 - 16:45 h;Sala Carvalho III
AO0053;2015-09-15;13:00 - 16:45 h;Sala Carvalho III
AO0054;2015-09-15;13:00 - 16:45 h;Sala Carvalho III
AO0055;2015-09-15;13:00 - 16:45 h;Sala Carvalho III
AO0056;2015-09-15;13:00 - 16:45 h;Sala Carvalho III
AO0057;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0058;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0059;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0060;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0061;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0062;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0063;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0064;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0065;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0066;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0067;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0068;2015-09-15;8:00 - 11:30 h;Sala Amoreira I
AO0069;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0070;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0071;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0072;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0073;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0074;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0075;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0076;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0077;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0078;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0079;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0080;2015-09-15;13:00 - 16:45 h;Sala Amoreira I
AO0081;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0082;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0083;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0084;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0085;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0086;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0087;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0088;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0089;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0090;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0091;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0092;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0093;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0094;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0095;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0096;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0097;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0098;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0099;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0100;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0101;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0102;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0103;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0104;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0105;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0106;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0107;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0108;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0109;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0110;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0111;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0112;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0113;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0114;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0115;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0116;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0117;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0118;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0119;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0120;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0121;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0122;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0123;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0124;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0125;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0126;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0127;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0128;2015-09-15;8:00 - 11:30 h;Sala Seringueira
AO0129;2015-09-15;8:00 - 11:30 h;Sala Seringueira
AO0130;2015-09-15;8:00 - 11:30 h;Sala Seringueira
AO0131;2015-09-15;8:00 - 11:30 h;Sala Seringueira
AO0132;2015-09-15;8:00 - 11:30 h;Sala Seringueira
AO0133;2015-09-15;8:00 - 11:30 h;Sala Seringueira
AO0134;2015-09-15;8:00 - 11:30 h;Sala Seringueira
AO0135;2015-09-15;8:00 - 11:30 h;Sala Seringueira
AO0136;2015-09-15;8:00 - 11:30 h;Sala Seringueira
AO0137;2015-09-15;8:00 - 11:30 h;Sala Seringueira
AO0138;2015-09-15;8:00 - 11:30 h;Sala Seringueira
AO0139;2015-09-15;13:00 - 16:45 h;Sala Seringueira
AO0140;2015-09-15;13:00 - 16:45 h;Sala Seringueira
AO0141;2015-09-15;13:00 - 16:45 h;Sala Seringueira
AO0142;2015-09-15;13:00 - 16:45 h;Sala Seringueira
AO0143;2015-09-15;13:00 - 16:45 h;Sala Seringueira
AO0144;2015-09-15;13:00 - 16:45 h;Sala Seringueira
AO0145;2015-09-15;13:00 - 16:45 h;Sala Seringueira
AO0146;2015-09-15;13:00 - 16:45 h;Sala Seringueira
AO0147;2015-09-15;13:00 - 16:45 h;Sala Seringueira
AO0148;2015-09-15;13:00 - 16:45 h;Sala Seringueira
AO0149;2015-09-15;13:00 - 16:45 h;Sala Seringueira
AO0150;2015-09-15;13:00 - 16:45 h;Sala Seringueira
AO0151;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0152;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0153;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0154;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0155;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0156;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0157;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0158;2015-09-15;8:00 - 11:30 h;Sala Carvalho I
AO0159;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0160;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0161;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0162;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0163;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0164;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0165;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0166;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0167;2015-09-15;13:00 - 16:45 h;Sala Carvalho I
AO0168;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0169;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0170;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0171;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0172;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0173;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0174;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0175;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0176;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0177;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0178;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0179;2015-09-15;8:00 - 11:30 h;Sala Amoreira II
AO0180;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0181;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
AO0182;2015-09-15;13:00 - 16:45 h;Sala Amoreira II
